HeapEnqueue	HeapDequeue	ArrayEnqueue	ArrayDequeue
0.444	0.627	0.551	4.589
1.147	0.463	0.547	4.08
0.776	0.455	0.533	4.104
1.172	0.55	0.546	4.269
0.447	0.608	0.532	4.11
0.445	0.469	0.549	4.206
0.418	0.564	0.567	4.122
0.786	0.566	0.554	4.089
1.151	0.397	0.586	4.063
0.9111666666666668	0.509	0.558	3.659
0.821	0.483	0.5655	3.789
0.422	0.564	0.575	4.031
0.7546944444444446	0.598	0.549	4.34
0.427	0.625	0.571	4.38
1.534	0.2	0.547	4.323
0.413	0.223	0.572	4.35
1.614	0.529	0.551	4.367
1.384	0.57	0.547	4.447
1.35	0.56	0.519	4.616
1.391	0.58	0.518	4.511
1.67	0.605	0.731	4.355
1.428	0.595	0.505	4.521
1.091	0.556	0.551	5.4
1.149	0.514	0.549	4.562
0.842	0.531	0.556	4.545
1.156	0.461	0.573	4.6
0.763	0.525	0.599	4.62
0.827	0.536	0.522	4.485
1.634	0.517	0.575	4.632
0.9383333333333334	0.517	0.561	4.616
0.816	0.527	0.567	4.552
0.479	0.54	0.611	4.7
1.111	0.511	0.56	4.637
0.467	0.507	0.504	4.538
0.455	0.54	0.514	4.704
0.421	0.539	0.571	4.629
0.861	0.522	0.533	4.748
0.464	0.543	0.558	4.563
0.46	0.53	0.602	4.762
0.475	0.487	0.58	4.747
0.7371666666666666	0.518	0.5808333333333333	4.468
0.5756944444444444	0.524	0.618	4.233
0.484	0.503	0.575	4.503
0.436	0.523	0.552	4.819
0.862	0.521	0.541	4.86
0.8171666666666666	0.516	0.652	4.776
0.877	0.549	0.608	4.871
0.475	0.475	0.605	4.97
0.6920277777777777	0.539	0.614	5.94
0.813	0.476	0.531	4.88
0.734	0.514	0.519	4.915
0.436	0.57	0.508	4.845
0.784	0.519	0.539	4.604
1.145	0.543	0.557	5.081
0.445	0.521	0.539	4.559
0.9335	0.512	0.62	4.93
0.45	0.428	0.567	4.687
1.179	0.468	0.52	4.976
1.598	0.526	0.568	4.996
1.225	0.509	0.561	4.892
0.857	0.483	0.96	5.065
0.436	0.508	0.595	5.097
1.224	0.492	0.512	5.09
0.424	0.513	0.544	5.012
0.452	0.599	0.571	4.921
0.642	0.631	0.55	5.186
0.839	0.594	0.55	4.941
0.458	0.517	0.546	4.999
0.455	0.421	0.561	4.65
0.45	0.389	0.561	3.967
